ID_Klijenta,Država,Odobreni_Iznos_EUR,Mjesečna_Primanje_EUR,Trenutni_Dug_EUR,Starost_Klijenta,Staž_Godine,Godine_Kreditne_Povijesti,Broj_članova_Kućanstva,Spol,Stambeni_Status,Obrazovanje
1001,Hrvatska,94934.28,5897.21,45000.0,28.0,12.0,9.0,2.0,muško,podstanar,SSS
1002,Hrvatska,82234.71,5466.71,45000.0,34.0,13.0,23.0,3.0,žensko,podstanar,SSS
1003,Hrvatska,97953.77,9539.26,45000.0,27.0,11.0,16.0,2.0,muško,podstanar,magisterij
1004,Hrvatska,115460.6,9433.69,39059.44,32.0,17.0,30.0,4.0,f,podstanar,VSS
1005,Hrvatska,80316.93,4671.03,45000.0,18.0,10.0,,2.0,f,podstanar,SSS
1006,Hrvatska,80317.26,5650.77,45000.0,37.0,18.0,1.0,1.0,f,vl,SSS
1007,Hrvatska,116584.26,9420.09,40204.15,35.0,16.0,30.0,3.0,žensko,podstanar,magisterij
1008,Hrvatska,100348.69,6374.97,33795.05,27.0,16.0,5.0,2.0,muško,vlasnik,SSS
1009,Hrvatska,75610.51,4796.56,45000.0,42.0,17.0,24.0,5.0,m,,SSS
1010,Hrvatska,95851.2,6706.74,45000.0,44.0,23.0,4.0,,muško,podstanar,SSS
1011,Hrvatska,75731.65,8060.09,45000.0,19.0,6.0,3.0,4.0,muško,podstanar,magisterij
1012,Hrvatska,75685.4,7342.91,45000.0,27.0,12.0,29.0,4.0,M,vlasnik,magisterij
1013,Hrvatska,89839.25,6996.79,45000.0,27.0,11.0,1.0,1.0,muško,vl,VSS
1014,Hrvatska,46734.4,4714.97,45000.0,26.0,9.0,11.0,2.0,f,podstanar,VSS
1015,Hrvatska,50501.64,3327.24,45000.0,43.0,17.0,2.0,4.0,f,vl,SSS
1016,Hrvatska,73754.25,4627.39,45000.0,33.0,18.0,5.0,1.0,muško,podstanar,SSS
1017,Hrvatska,64743.38,5575.81,45000.0,32.0,11.0,23.0,1.0,m,podstanar,VSS
1018,Hrvatska,91284.95,6433.75,45000.0,18.0,5.0,13.0,1.0,m,vl,SSS
1019,Hrvatska,66839.52,4197.12,45000.0,41.0,24.0,7.0,3.0,žensko,vlasnik,SSS
1020,Hrvatska,56753.93,5239.55,45000.0,23.0,11.0,20.0,1.0,M,podstanar,VSS
1021,Hrvatska,114312.98,8705.83,45000.0,36.0,10.0,20.0,1.0,muško,podstanar,SSS
1022,Hrvatska,80484.47,6153.79,45000.0,38.0,15.0,25.0,3.0,m,vlasnik,VSS
1023,Hrvatska,86350.56,6330.78,45000.0,49.0,16.0,13.0,3.0,m,vl,VSS
1024,Hrvatska,56505.04,5658.8,45000.0,22.0,5.0,28.0,7.0,f,vl,VSS
1025,Hrvatska,74112.35,4601.5,45000.0,18.0,0.0,2.0,2.0,muško,vlasnik,SSS
1026,Hrvatska,87218.45,5655.44,45000.0,37.0,16.0,15.0,2.0,muško,podstanar,SSS
1027,Hrvatska,61980.13,5241.43,45000.0,53.0,20.0,14.0,2.0,žensko,podstanar,VSS
1028,Hrvatska,92513.96,9037.7,45000.0,47.0,22.0,6.0,3.0,žensko,,magisterij
1029,Hrvatska,72987.23,5665.08,45000.0,37.0,11.0,14.0,9.0,žensko,podstanar,SSS
1030,Hrvatska,79166.13,8678.81,45000.0,30.0,13.0,12.0,,m,vlasnik,magisterij
1031,Hrvatska,72965.87,6795.5,45000.0,43.0,18.0,5.0,2.0,M,podstanar,VSS
1032,Hrvatska,122045.56,8928.26,33706.12,,16.0,14.0,2.0,,podstanar,VSS
1033,Hrvatska,84730.06,,45000.0,40.0,22.0,16.0,1.0,muško,podstanar,SSS
1034,Hrvatska,63845.78,,45000.0,40.0,19.0,3.0,,m,podstanar,SSS
1035,Hrvatska,101450.9,6358.7,44280.84,46.0,20.0,21.0,2.0,muško,podstanar,SSS
1036,Hrvatska,60583.13,4517.23,45000.0,63.0,35.0,26.0,1.0,muško,podstanar,SSS
1037,Hrvatska,89177.27,9203.62,45000.0,39.0,13.0,21.0,3.0,f,vlasnik,magisterij
1038,Hrvatska,45806.6,2943.02,45000.0,30.0,7.0,26.0,1.0,muško,podstanar,SSS
1039,Hrvatska,58436.28,5384.6,45000.0,35.0,14.0,13.0,1.0,f,podstanar,VSS
1040,Hrvatska,88937.22,5584.71,45000.0,,14.0,14.0,,muško,podstanar,SSS
1041,Hrvatska,99769.33,8253.67,45000.0,28.0,12.0,27.0,,muško,podstanar,VSS
1042,Hrvatska,88427.37,,45000.0,31.0,13.0,11.0,,M,podstanar,SSS
1043,Hrvatska,82687.03,4704.53,45000.0,30.0,8.0,18.0,1.0,M,podstanar,SSS
1044,Hrvatska,78977.93,5415.02,45000.0,37.0,,21.0,1.0,m,podstanar,SSS
1045,Hrvatska,55429.56,5661.52,45000.0,27.0,13.0,27.0,3.0,žensko,podstanar,VSS
1046,Hrvatska,70603.12,4499.32,45000.0,46.0,23.0,9.0,-3.0,muško,podstanar,SSS
1047,Hrvatska,75787.22,5402.83,45000.0,35.0,13.0,5.0,-1.0,f,podstanar,SSS
1048,Hrvatska,106142.44,8483.49,45000.0,35.0,15.0,27.0,1.0,muško,vlasnik,SSS
1049,Hrvatska,91872.37,9072.65,45000.0,32.0,10.0,24.0,3.0,žensko,podstanar,
1050,Hrvatska,49739.2,5012.6,45000.0,37.0,16.0,8.0,2.0,m,,VSS
1051,Hrvatska,91481.68,7229.75,45000.0,43.0,16.0,1.0,4.0,žensko,podstanar,VSS
1052,Hrvatska,77298.35,6743.85,45000.0,26.0,7.0,3.0,3.0,M,vlasnik,VSS
1053,Hrvatska,71461.56,4994.24,45000.0,28.0,10.0,8.0,2.0,muško,podstanar,SSS
1054,Hrvatska,97233.53,8079.66,45000.0,32.0,13.0,,4.0,f,vl,VSS
1055,Hrvatska,105619.99,6531.49,45000.0,22.0,8.0,,2.0,muško,podstanar,SSS
1056,Hrvatska,103625.6,7011.55,45000.0,27.0,13.0,12.0,3.0,muško,vl,SSS
1057,Hrvatska,68215.65,6778.81,45000.0,30.0,13.0,19.0,4.0,žensko,podstanar,VSS
1058,Hrvatska,78815.75,6978.7,45000.0,44.0,19.0,7.0,4.0,muško,vl,VSS
1059,Hrvatska,91625.27,6589.34,45000.0,38.0,18.0,25.0,2.0,muško,vlasnik,SSS
1060,Hrvatska,104510.9,6848.89,45000.0,37.0,14.0,27.0,4.0,m,podstanar,
1061,Hrvatska,75416.52,6902.72,45000.0,44.0,20.0,18.0,1.0,žensko,vlasnik,VSS
1062,Hrvatska,81286.82,7058.76,45000.0,34.0,15.0,18.0,3.0,muško,podstanar,VSS
1063,Hrvatska,62873.3,3716.1,45000.0,39.0,12.0,24.0,7.0,m,podstanar,SSS
1064,Hrvatska,61075.87,4230.99,45000.0,34.0,17.0,15.0,,M,podstanar,SSS
1065,Hrvatska,101250.52,9254.19,45000.0,38.0,14.0,10.0,1.0,žensko,vl,magisterij
1066,Hrvatska,112124.8,8658.55,45000.0,29.0,,9.0,2.0,f,,VSS
1067,Hrvatska,83559.8,,45000.0,18.0,10.0,7.0,1.0,M,vl,magisterij
1068,Hrvatska,105070.66,7153.33,45000.0,34.0,,0.0,4.0,M,podstanar,SSS
1069,Hrvatska,92232.72,5554.23,45000.0,49.0,22.0,9.0,3.0,m,podstanar,SSS
1070,Hrvatska,72097.6,5333.5,45000.0,44.0,19.0,29.0,3.0,muško,vlasnik,SSS
1071,Hrvatska,92227.91,7934.53,45000.0,45.0,24.0,17.0,1.0,M,,VSS
